,SOC,SOH,Power,T,SEI_after,SEI_delta
6636,47,1.1111,0.68421,23,1.11110051244519e-08,51.24451901
6637,47,1.1111,0.78947,23,1.11110052456113e-08,52.456113
6638,47,1.1111,0.89474,23,1.1111005369473099e-08,53.69473101
6639,47,1.1111,1.0,23,1.11110054984028e-08,54.984028
6650,47,1.2222,0.052632000000000005,23,1.22220044659942e-08,44.65994199
6651,47,1.2222,0.15789,23,1.2222004566724e-08,45.66723999
6652,47,1.2222,0.26316,23,1.22220046713236e-08,46.713236
6653,47,1.2222,0.36841999999999997,23,1.22220047786111e-08,47.78611099
6654,47,1.2222,0.47368000000000005,23,1.22220048879521e-08,48.87952099
6655,47,1.2222,0.57895,23,1.22220050017964e-08,50.017964
6656,47,1.2222,0.68421,23,1.2222005118508001e-08,51.18507999
6657,47,1.2222,0.78947,23,1.2222005238471299e-08,52.384713
6658,47,1.2222,0.89474,23,1.22220053617029e-08,53.61702899
6659,47,1.2222,1.0,23,1.2222005489174201e-08,54.89174199
6670,47,1.3333,0.052632000000000005,23,1.33330044651494e-08,44.651494
6671,47,1.3333,0.15789,23,1.33330045652895e-08,45.65289501
6672,47,1.3333,0.26316,23,1.33330046687435e-08,46.68743501
6673,47,1.3333,0.36841999999999997,23,1.33330047756846e-08,47.75684601
6674,47,1.3333,0.47368000000000005,23,1.33330048843734e-08,48.843734000000005
6675,47,1.3333,0.57895,23,1.3333004997153e-08,49.97153001
6676,47,1.3333,0.68421,23,1.3333005113045e-08,51.13045001
6677,47,1.3333,0.78947,23,1.33330052315737e-08,52.31573701
6678,47,1.3333,0.89474,23,1.33330053539976e-08,53.53997601
6679,47,1.3333,1.0,23,1.3333005479941e-08,54.79941001
6690,47,1.4444,0.052632000000000005,23,1.4444004464343399e-08,44.643434
6691,47,1.4444,0.15789,23,1.44440045635679e-08,45.635678999999996
6692,47,1.4444,0.26316,23,1.4444004666376099e-08,46.66376101
6693,47,1.4444,0.36841999999999997,23,1.44440047721892e-08,47.721892
6694,47,1.4444,0.47368000000000005,23,1.44440048808231e-08,48.808231
6695,47,1.4444,0.57895,23,1.4444004992333298e-08,49.923333
6696,47,1.4444,0.68421,23,1.44440051076447e-08,51.07644701
6697,47,1.4444,0.78947,23,1.44440052257763e-08,52.257763
6698,47,1.4444,0.89474,23,1.44440053459346e-08,53.459346
6699,47,1.4444,1.0,23,1.4444005470748002e-08,54.707480000000004
6710,47,1.5556,0.052632000000000005,23,1.55560044631899e-08,44.631899
6711,47,1.5556,0.15789,23,1.5556004562326802e-08,45.62326798
6712,47,1.5556,0.26316,23,1.55560046638798e-08,46.63879799
6713,47,1.5556,0.36841999999999997,23,1.55560047694472e-08,47.69447199
6714,47,1.5556,0.47368000000000005,23,1.55560048772826e-08,48.77282599
6715,47,1.5556,0.57895,23,1.55560049884017e-08,49.88401699
6716,47,1.5556,0.68421,23,1.5556005102007402e-08,51.02007399
6717,47,1.5556,0.78947,23,1.55560052182837e-08,52.18283701
6718,47,1.5556,0.89474,23,1.55560053380797e-08,53.380796999999994
6719,47,1.5556,1.0,23,1.5556005462233902e-08,54.62233898
6730,47,1.6667,0.052632000000000005,23,1.6667004462065698e-08,44.62065702
6731,47,1.6667,0.15789,23,1.66670045605917e-08,45.60591701
6732,47,1.6667,0.26316,23,1.66670046617028e-08,46.61702801
6733,47,1.6667,0.36841999999999997,23,1.66670047660905e-08,47.660905
6734,47,1.6667,0.47368000000000005,23,1.66670048731764e-08,48.73176399
6735,47,1.6667,0.57895,23,1.6667004982916002e-08,49.82915999
6736,47,1.6667,0.68421,23,1.66670050961831e-08,50.96183101
6737,47,1.6667,0.78947,23,1.6667005212173102e-08,52.12173099
6738,47,1.6667,0.89474,23,1.66670053300547e-08,53.30054701
6739,47,1.6667,1.0,23,1.6667005453033998e-08,54.53034002
6750,47,1.7778,0.052632000000000005,23,1.77780044607341e-08,44.607341
6751,47,1.7778,0.15789,23,1.77780045585545e-08,45.58554501
6752,47,1.7778,0.26316,23,1.77780046589159e-08,46.58915901
6753,47,1.7778,0.36841999999999997,23,1.77780047632565e-08,47.632565
6754,47,1.7778,0.47368000000000005,23,1.7778004869165303e-08,48.69165301
6755,47,1.7778,0.57895,23,1.77780049779307e-08,49.779307
6756,47,1.7778,0.68421,23,1.77780050901802e-08,50.90180201
6757,47,1.7778,0.78947,23,1.77780052049947e-08,52.049946999999996
6758,47,1.7778,0.89474,23,1.77780053226372e-08,53.226372
6759,47,1.7778,1.0,23,1.77780054433294e-08,54.433294
6770,47,1.8889,0.052632000000000005,23,1.88890044589674e-08,44.58967398
6771,47,1.8889,0.15789,23,1.8889004557159902e-08,45.57159897
6772,47,1.8889,0.26316,23,1.88890046563277e-08,46.56327699
6773,47,1.8889,0.36841999999999997,23,1.88890047590734e-08,47.59073398
6774,47,1.8889,0.47368000000000005,23,1.8889004864605502e-08,48.64605497
